2019-08-28 22:07:06  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 701.150612 coins 
2019-08-28 22:07:06  | Get Last Order from Redis
2019-08-28 22:07:06  | Get Last Order from Redis
2019-08-28 22:07:06  | Get Last Order from Redis
2019-08-28 22:07:06  | Get Last Order from Redis
2019-08-28 22:07:06  | Get Last Order from Redis
2019-08-28 22:07:06  | My Order List is  [] 
2019-08-28 22:07:06  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-08-28 22:07:06  | Spawn Trader  dongwkim-trader1 
2019-08-28 22:07:06  | Current Trader is dongwkim-trader1
2019-08-28 22:07:06  | Get Last Order from Redis
2019-08-28 21:59:14  | TEST  | Price: p:320.2/b:319.9/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.2%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,508  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.9/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.5/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.9/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.5/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.9/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.5/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.9/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.9/a:320.9/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.9/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:321.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:321.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.6/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:321.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.6/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:321.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.2/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.9/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.9/a:321.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.9/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:321.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.6/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:321.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.5/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.6/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.9/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.9/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.5/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.5/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:321.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.9/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.3/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.5/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.9/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.5/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.2/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.1/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 321 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.6/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.6/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.5/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.9/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:320.0/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/  -0(-0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 22:53:57  | TEST  | Price: p:320.4/b:319.8/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 23:04:23  | TEST  | Price: p:320.4/b:319.8/a:320.4/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 23:04:23  | TEST  | Price: p:320.4/b:319.8/a:320.5/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 23:04:23  | TEST  | Price: p:320.4/b:320.5/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 23:04:30  | TEST  | Price: p:320.5/b:320.5/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,718  
2019-08-28 23:04:33  | TEST  | Price: p:320.6/b:320.5/a:320.6/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,788  
2019-08-28 23:04:33  | TEST  | Price: p:320.6/b:320.5/a:320.8/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.1%) Avg:  320/ 320 | deal (0) | bal:224,788  
2019-08-28 23:04:33  | TEST  | Price: p:320.6/b:320.5/a:320.6/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.1%) Avg:  320/ 320 | deal (0) | bal:224,788  
2019-08-28 23:04:33  | TEST  | Price: p:320.6/b:320.5/a:320.9/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.1%) Avg:  320/ 320 | deal (0) | bal:224,788  
2019-08-28 23:04:33  | TEST  | Price: p:320.6/b:320.5/a:320.7/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.1%) Avg:  320/ 320 | deal (0) | bal:224,788  
2019-08-28 23:04:33  | TEST  | Price: p:320.6/b:320.5/a:321.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,788  
2019-08-28 23:04:33  | TEST  | Price: p:320.6/b:320.5/a:321.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.1%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,788  
2019-08-28 23:07:00  | TEST  | Price: p:320.4/b:320.2/a:320.9/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.0%)/   0(0.0%)/  -0(-0.0%) Avg:  320/ 320 | deal (0) | bal:224,648  
2019-08-28 23:07:02  | TEST  | Price: p:320.2/b:319.7/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/  -0(-0.1%)/  -0(-0.1%) Avg:  320/ 320 | deal (0) | bal:224,508  
2019-08-28 23:07:02  | TEST  | Price: p:320.2/b:319.8/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/  -0(-0.1%)/  -0(-0.1%) Avg:  320/ 320 | deal (0) | bal:224,508  
2019-08-28 23:07:02  | TEST  | Price: p:320.2/b:319.7/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,508  
2019-08-28 23:07:02  | TEST  | Price: p:320.2/b:319.7/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,508  
2019-08-28 23:07:02  | TEST  | Price: p:320.2/b:319.7/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,508  
2019-08-28 23:07:02  | TEST  | Price: p:320.2/b:319.7/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,508  
2019-08-28 23:07:02  | TEST  | Price: p:320.2/b:319.7/a:320.2/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.2%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,508  
2019-08-28 23:07:02  | TEST  | Price: p:320.2/b:319.7/a:320.0/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,508  
2019-08-28 23:07:02  | TEST  | Price: p:320.2/b:319.7/a:320.1/l:316 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  320/ 320 | deal (0) | bal:224,508  
